id,aspect_class,sentiment_class,comment_text
1,,,gila ribu viewers guys re requiem kita lanjut nanti jam sahur yah ngabuburit sambil main server gta roleplay ku dulu aja di imeroleplay tempat top up terbaikku cuma di beli kebutuhan tcgmu di tanganwangi join discord ku motionime cara nemu server imeroleplay di fivem filter bendera indonesia di fivem trus sort by player or f8 connect di fivem gta main imeroleplay com
2,,,ternyata udah bulan yg lalu ya padahal bersa baru beberapa minggu
3,,,nyesek njir di katain sampah eh sumpah si raka muncung nya itu lho
4,,,parah sumpah di katain lu sampah astaghfirullah kalian ini ah dah lah capek aing
5,,,itu raka ego nya lebih sampah dari sampah sih janngan dengerin kata raka bang windah si raka literasi
6,,,absen yg replay lagi walaupun udah nonton
7,,,saya janji akan like semua vidio mu yang bertentangan dengan resident evil dan game triple a bang
8,,,kangen bulan puasa vibes re9
9,,,halo bang
10,,,leon tidak pernah jadi member stars bang dia dulu rpd aka polisi barurookie waktu masih di re2 lalu posisi dia skrg udh jadi agen dso di re9 ini
11,,,bisa bisanya gw nonton ini lagi
12,,,absen bg
13,,,masih keinget windah ngaku leon
14,,,kok bang windah bisa nge love in coment sebanyak ini sih kan dia sibuk
15,,,yang perawat tadi dibiarin sama lion
16,,,kenyataannya kok ada ya manusia pengecut itu
17,,,semua nilainya ini mah cuma sengaja aja agak telat nonton nya
18,,,masih gamon dgn nonton windah vibes ramadhan
19,,,gasuka nonton first person soalnya motion sickness
20,,,karakternya lamban banget coo
21,,,lagi makan malah muntah ke piring
22,,,pada fomo gk tahu re kah kameranya gmna
23,,,sejak awal grace sdah dipancing untuk k greenwood
24,,,seru banget niii game tapi bacotan luuu lebih banyak jadi bikin nggak fokus sama gamenya
25,,,kok mnrtku malah lebh jelek grafiknya ketimbang village
26,,,gabisa fokus ke story game aja ga sih banyak bet hal yg dikomen momen penting pun malah bahas viewer udh gitu banyak bet iklan
27,,,dah abis main tdi
28,,,itu mak nya grace gak sih
29,,,game kerreen
30,,,bng windah aku sayang kamu dan keluargamu semoga sehat selalu semua
31,,,sayur main game masakmasakan
32,,,woi itu adik aku
33,,,kak coba main roblox seru banget kak ada banyak map
34,,,ka meci main gem pazu
35,,,kak mixsu beli barang rendom dong
36,,,lah itu nama aku kak
37,,,tahu nggak tadi aku juga ada di mana kamu cepet ke sini boleh
38,,,siapa yang pernah ketemu kuntilanak
